id,input_size,comparisons,match_status
0,10,572,False
1,10,570,True
2,10,572,True
3,10,572,False
4,10,572,False
5,10,572,False
6,10,572,False
7,10,572,False
8,10,572,False
9,10,572,False
0,100,55157,False
1,100,55157,False
2,100,55157,False
3,100,55157,False
4,100,55157,False
5,100,55157,False
6,100,55157,False
7,100,55157,False
8,100,55157,False
9,100,55157,False
0,250,344132,False
1,250,344132,False
2,250,344132,False
3,250,344132,False
4,250,344132,False
5,250,344132,False
6,250,344132,False
7,250,344132,False
8,250,344132,False
9,250,344132,False
0,500,1370263,False
1,500,1370263,False
2,500,1370263,False
3,500,1370263,False
4,500,1370263,False
5,500,1370263,False
6,500,1370263,False
7,500,1370263,False
8,500,1370263,False
9,500,1370263,False
0,750,3103137,False
1,750,3103137,False
2,750,3103137,False
3,750,3103137,False
4,750,3103137,False
5,750,3103137,False
6,750,3103137,False
7,750,3103137,False
8,750,3103137,False
9,750,3103137,False
0,1000,5501507,False
1,1000,5501507,False
2,1000,5501507,False
3,1000,5501507,False
4,1000,5501507,False
5,1000,5501507,False
6,1000,5501507,False
7,1000,5501507,False
8,1000,5501507,False
9,1000,5501507,False
